internal_id,external_id,image_external_id,image_file,image_path,image_url,ID方式,external_id状態,英傑名,職,職業,コスト,因子1,因子2,因子3,因子4,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,ID対応状況,ID対応方法,ID元英傑名,育成技能1,育成技能2,育成技能3,追加更新,技能,詳細,確認状態,主キー運用,external_id運用メモ
EIK_0011,73744347,73744347,73744347.webp,images/eiketsu/73744347.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/73744347.webp,独自ID,元サイトIDあり,斎藤義龍,鍛冶屋,鍛冶屋,7,刀鍛冶,野心家,対象外,猛将,36129,14885,2261,2045,1395,1063,2297,2015,1295,1249,904,ID確定,英傑名完全一致,斎藤義龍,土属性上昇率向上Lv.2,,,2026/2/11,玄龍破天,敵単体に蓄積値を増幅して放出する近接攻撃と固定ダメージを与え、強結界・強術結界を破壊し、特大土属性呪詛を付与。味方の生命力が50%以下で蓄積値を上昇させる追加行動を行う。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0012,未確認,未確認,未確認,未確認,未確認,独自ID,元サイトID未確認,前田利家(雄材),四象,傾奇者,7,四象,博識,洒落者,世渡り上手,36749,19474,3100,1510,1963,1987,2487,2378,2176,2961,2272,英傑一覧(24).csvから追加,英傑一覧(24).csv基準,前田利家(雄材),生命上昇Lv.5,腕力上昇Lv.3,火属性上昇Lv.1,2026/05/23,,,英傑一覧(24).csvから確認,internal_id,未確認。internal_idで運用
EIK_0013,47545036,47545036,47545036.webp,images/eiketsu/47545036.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/47545036.webp,独自ID,元サイトIDあり,安国寺恵瓊,僧,僧,7,密教,名臣,外交官,対象外,35859,22911,1865,2435,1937,2891,3075,2289,2296,2153,2132,ID確定,英傑名完全一致,安国寺恵瓊,耐久上昇Lv.5,耐久上昇率向上Lv.3,魅力上昇Lv.1,2026/2/4,折衝禦侮,敵単体に無属性術攻撃を行い、種族を死人に変更する。霊種族に追加ダメージ。味方全体の生命力を回復し、防御力を上昇させる。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0014,56823172,56823172,56823172.webp,images/eiketsu/56823172.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/56823172.webp,独自ID,元サイトIDあり,上杉憲政,僧,僧,6,僧兵,野心家,神仏の徒,対象外,32957,15661,2603,1636,1600,1426,1349,1872,2037,1864,1862,ID確定,英傑名完全一致,上杉憲政,生命上昇Lv.1,生命上昇率向上Lv.1,,2026/2/4,関東管領の威,敵単体に近接攻撃を行い、付与を2個消し、種族を死人に変更する。死人種族に追加ダメージ。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0015,95380774,95380774,95380774.webp,images/eiketsu/95380774.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/95380774.webp,独自ID,元サイトIDあり,武田晴信,侍,侍,8,軍学,神仏の徒,気鋭,野心家,40234,18242,2346,1983,2026,2918,2106,3003,2957,2820,2812,ID確定,英傑名完全一致,武田晴信,知力上昇率向上Lv.5,土属性上昇Lv.3,知力上昇Lv.1,2025/12/31,甲州の虎変,敵単体に土属性術攻撃を行い、一定時間行動不能にする。敵全体に土属性術攻撃を行い、自身の生命力最大値・属性値に応じて威力上昇。術耐性を低下させる。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0016,70372139,70372139,70372139.webp,images/eiketsu/70372139.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/70372139.webp,独自ID,元サイトIDあり,三条の方,僧,僧,7,仏門,女傑,内助の功,ー,37441,28385,2073,2116,1638,2844,3087,2291,2476,2282,2384,ID確定,英傑名完全一致,三条の方,気合上昇Lv.5,生命上昇Lv.3,魅力上昇Lv.1,2025/12/31,花菱の奉祝,味方全体の最大気合を増加させ、気合を回復し、攻撃力・知力を上昇させる。味方全体に物理・術被害軽減の結界を張る。使用後、一定時間後に追加行動を行う。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0017,46105657,46105657,46105657.webp,images/eiketsu/46105657.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/46105657.webp,独自ID,元サイトIDあり,堀秀政,傾奇者,傾奇者,7,地勢,才腕,外交官,多才,37721,24794,2236,1973,2365,2888,3071,2559,2665,2973,3000,ID確定,英傑名完全一致,堀秀政,風属性上昇Lv.5,魅力上昇Lv.3,風属性上昇率向上Lv.1,2025/12/17,名人太郎の舞,味方全体の気合を回復し、攻撃力・命中力・回避力を上げる。さらに標的固定状態を解除し、標的固定耐性と風属性の槌効果を付与する。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0018,25718548,25718548,25718548.webp,images/eiketsu/25718548.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/25718548.webp,独自ID,元サイトIDあり,雫の者,薬師,薬師,7,医学,女傑,根性,内助の功,38792,20945,1575,2132,1705,2826,3178,2682,2977,2362,2079,ID確定,英傑名完全一致,雫の者,魅力上昇Lv.5,生命上昇Lv.3,水属性上昇Lv.1,2025/12/17,零れ落ちる雫,味方全体の生命力の最大値を上げ、生命力を回復する。さらに衝撃誘爆状態・属性蓄積状態を1つ、呪詛を2つ解除する。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0019,7819448,7819448,7819448.webp,images/eiketsu/7819448.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/7819448.webp,独自ID,元サイトIDあり,伊達政宗(起源),侍,侍,8,武芸,才腕,野心家,気鋭,37926,21089,3236,1774,2021,2299,2499,2546,2676,2595,2510,ID確定,英傑名完全一致,伊達政宗(起源),腕力上昇Lv.5,生命上昇Lv.3,火属性上昇Lv.1,2025/12/17,天叢雲炎墜,敵単体に近接攻撃、高確率で沈黙状態にする。敵全体に間接攻撃、火属性の衝撃誘爆状態を付与。敵が沈黙、麻痺、継続ダメージ状態になった時２回まで敵全体に追加攻撃。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0020,48426513,48426513,48426513.webp,images/eiketsu/48426513.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/48426513.webp,独自ID,元サイトIDあり,北条氏照(剛柔),陰陽師,陰陽師,7,陰陽道,知将,外交官,対象外,33203,21566,1394,2088,1758,2930,3085,2900,2591,2554,2636,ID確定,英傑名完全一致,北条氏照(剛柔),知力上昇率向上Lv.5,知力上昇Lv.3,土属性上昇Lv.1,2025/12/17,稲妻如意陣,敵単体と敵全体に土属性術攻撃を行い、術耐性を低下させる。陰陽煉気を最大５まで蓄積し、陰陽煉気に応じてダメージ上昇。陰陽煉気最大時、自身の術威力と属性値上昇。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0021,72716169,72716169,72716169.webp,images/eiketsu/72716169.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/72716169.webp,独自ID,元サイトIDあり,甲斐宗運,僧,僧,7,密教,宿将,神仏の徒,対象外,37790,20905,2482,2634,1937,2700,2878,2502,2659,2635,2618,ID確定,英傑名完全一致,甲斐宗運,耐久上昇Lv.5,耐久上昇率向上Lv.3,魅力上昇率向上Lv.1,2025/12/17,揺るがぬ柱石,自身が一定時間無敵状態となる。敵単体の注意を一定時間引きつける。味方全体の物理・術耐性を上昇させ、被回復量を大きく上昇させる。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0022,7042970,7042970,7042970.webp,images/eiketsu/7042970.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/7042970.webp,独自ID,元サイトIDあり,佐竹義重,侍,侍,8,武芸,才腕,勇将,対象外,36581,19527,2968,1897,2327,2811,2919,2408,2502,2821,2616,ID確定,英傑名完全一致,佐竹義重,腕力上昇Lv.5,生命上昇Lv.3,器用上昇率向上Lv.1,2025/12/17,鬼義重の一振,敵単体に近接攻撃、生命力を吸収、物理・術耐性を低下。全体に火属性術攻撃し、自陣営の士気玉を1つ追加。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0023,78487594,78487594,78487594.webp,images/eiketsu/78487594.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/78487594.webp,独自ID,元サイトIDあり,片倉景綱,神主・巫女,神主/巫女,7,古神道,名臣,対象外,対象外,30828,23432,1621,1305,1308,1906,2205,1467,1320,1250,1515,ID確定,英傑名完全一致,片倉景綱,気合上昇率向上Lv.5,魅力修練上昇Lv.3,知力修練上昇Lv.1,2025/12/17,小十郎の軍略,味方2人の標的固定状態を解除し、標的固定耐性と攻撃にダメージを追加する状態を付与。重ねがけで効果が上昇。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0024,58679116,58679116,58679116.webp,images/eiketsu/58679116.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/58679116.webp,独自ID,元サイトIDあり,今川義元,陰陽師,陰陽師,8,陰陽道,文化人,多才,対象外,27891,18115,1189,1653,1343,2040,2865,1544,2842,1483,1530,ID確定,英傑名完全一致,今川義元,知力上昇Lv.5,知力修練上昇Lv.3,,2025/12/17,海道一の弓取,敵単体に妖術攻撃を行い、味方全体の生命力を回復し、攻撃力、防御力、属性値を上昇。鬼種族に追加ダメージ。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0025,9051384,9051384,9051384.webp,images/eiketsu/9051384.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/9051384.webp,独自ID,元サイトIDあり,平手政秀,陰陽師,陰陽師,6,仙道,名臣,信義,対象外,19872,19075,662,1159,907,2243,1701,1436,790,750,1332,ID確定,英傑名完全一致,平手政秀,魅力上昇率向上Lv.3,知力修練上昇Lv.1,,2025/12/17,爺の説教地獄,敵単体に蓄積値に応じた無属性術攻撃を行い、状態レベル2の四属性呪詛を付与する。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0026,75298356,75298356,75298356.webp,images/eiketsu/75298356.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/75298356.webp,独自ID,元サイトIDあり,島津家久,鍛冶屋,鍛冶屋,7,鉄砲鍛冶,勇将,対象外,対象外,27885,13915,2095,1797,1545,956,1886,917,946,1118,1196,ID確定,英傑名完全一致,島津家久,耐久上昇率向上Lv.5,耐久上昇Lv.3,,2025/12/17,釣り野伏掃射,敵全体に間接攻撃を行う。標的固定状態の敵に攻撃した場合、追加ダメージを与え、行動不能にする場合がある。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0027,81439164,81439164,81439164.webp,images/eiketsu/81439164.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/81439164.webp,独自ID,元サイトIDあり,上杉謙信,僧,僧,8,仏門,勇将,信義,対象外,26936,15587,1759,1699,1215,2222,2058,1169,1471,1119,1430,ID確定,英傑名完全一致,上杉謙信,生命上昇Lv.3,,,2025/12/17,毘沙門の威力,敵全体に無属性ダメージを与える。さらに、解除可能な結界と付与をすべて解除する。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0028,65644467,65644467,65644467.webp,images/eiketsu/65644467.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/65644467.webp,独自ID,元サイトIDあり,長宗我部元親,鍛冶屋,鍛冶屋,8,刀鍛冶,鬼,対象外,勇将,37047,13937,2076,2183,1424,1144,2258,1018,1561,999,968,ID確定,英傑名完全一致,長宗我部元親,水属性上昇率向上Lv.5,水属性上昇Lv.3,,2025/12/17,神破りの鋭鋒,蓄積値を3000残して消費し、消費蓄積値を2倍に増幅して放出する近接攻撃を行う。 神種族に追加ダメージ。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0029,89583884,89583884,89583884.webp,images/eiketsu/89583884.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/89583884.webp,独自ID,元サイトIDあり,本願寺顕如,僧,僧,8,仏門,神仏の徒,博識,対象外,31515,19361,2167,1761,1193,2098,1980,1169,1716,1119,1192,ID確定,英傑名完全一致,本願寺顕如,気合上昇Lv.3,,,2025/12/17,対象外,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0030,81227917,81227917,81227917.webp,images/eiketsu/81227917.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/81227917.webp,独自ID,元サイトIDあり,吉川元春,僧,僧,7,僧兵,猛将,対象外,気鋭,35606,16698,2871,2054,2124,2524,2827,1265,1636,1177,1312,ID確定,英傑名完全一致,吉川元春,腕力上昇率向上Lv.5,魅力上昇率向上Lv.3,魅力上昇Lv.1,2025/12/17,三子教訓の勇,敵単体に近接攻撃を行う。対象の生命力が50％以上の場合威力上昇。味方全体の生命力を回復し、自身に気合ダメージを受けた時に追加行動を行う状態を付与。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0031,99222303,99222303,99222303.webp,images/eiketsu/99222303.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/99222303.webp,独自ID,元サイトIDあり,黒百合(納涼),傾奇者,傾奇者,7,四象,才腕,女傑,博識,34827,20972,2463,1383,1918,2390,2317,2629,3046,2584,2612,ID確定,英傑名完全一致,黒百合(納涼),水属性上昇Lv.5,生命修練上昇Lv.3,水属性上昇率向上Lv.1,2025/12/17,夏空奇想曲,自身の最高属性と同属性の追加ダメージ効果と物理・術被害軽減の結界を味方単体に付与、対象の属性呪詛をすべて解除する。自身の最高属性と同属性の四象を上げる。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0032,未確認,未確認,未確認,未確認,未確認,独自ID,元サイトID未確認,黒百合,四象,傾奇者,6,四象,女傑,対象外,対象外,20971,11935,1598,878,1012,1094,1426,798,717,876,747,英傑一覧(24).csvから追加,英傑一覧(24).csv基準,黒百合,風属性上昇Lv.1,,,2026/05/23,,,英傑一覧(24).csvから確認,internal_id,未確認。internal_idで運用
EIK_0033,8885443,8885443,8885443.webp,images/eiketsu/8885443.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/8885443.webp,独自ID,元サイトIDあり,丹羽長秀(風雲),薬師,薬師,7,修験道,名臣,知将,対象外,33239,21459,1148,2143,1939,2829,2946,2018,2810,2827,2004,ID確定,英傑名完全一致,丹羽長秀(風雲),知力上昇Lv.5,火属性上昇率向上Lv.3,水属性上昇率向上Lv.1,2025/12/17,五郎佐の采配,味方全体の生命力を回復し、物理・術耐性と属性値を上昇させる。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0034,75364080,75364080,75364080.webp,images/eiketsu/75364080.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/75364080.webp,独自ID,元サイトIDあり,直江兼続(王佐),陰陽師,陰陽師,7,陰陽道,名臣,文化人,信義,35063,23809,1816,2157,1929,2912,3041,2882,2742,2702,2789,ID確定,英傑名完全一致,直江兼続(王佐),知力上昇Lv.5,知力上昇率向上Lv.3,知力修練志向Lv.1,2025/12/17,愛染の真言,敵全体に土属性術攻撃を行い、物理・術耐性を低下させ、確率で対象の目標をランダム化する。,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0035,59120684,59120684,59120684.webp,images/eiketsu/59120684.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/59120684.webp,独自ID,元サイトIDあり,安宅冬康,鍛冶屋,鍛冶屋,6,鎧鍛冶,知将,多才,対象外,31889,12216,1231,2000,1163,879,1900,767,777,870,758,ID確定,英傑名完全一致,安宅冬康,耐久修練志向Lv.1,魅力修練上昇Lv.1,,2025/12/17,淡路流鉄砲術,敵全体に間接攻撃を行い、自身の防御力を上昇させる。 ,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0036,95335746,95335746,95335746.webp,images/eiketsu/95335746.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/95335746.webp,独自ID,元サイトIDあり,稲葉一鉄,僧,僧,6,僧兵,猛将,博識,対象外,22887,12046,1607,1192,1053,1178,1214,860,760,700,703,ID確定,英傑名完全一致,稲葉一鉄,魅力修練上昇Lv.1,,,頑固一徹,敵全体の注意を一定時間引きつけ、自身の防御力、命中力、回避力、属性値を上げる。,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0037,47687468,47687468,47687468.webp,images/eiketsu/47687468.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/47687468.webp,独自ID,元サイトIDあり,斎藤朝信,侍,侍,6,武芸,名臣,信義,対象外,23409,12142,1921,1092,1264,828,1408,688,697,825,682,ID確定,英傑名完全一致,斎藤朝信,魅力修練志向Lv.5,,,2025/12/17,対象外,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0038,69916062,69916062,69916062.webp,images/eiketsu/69916062.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/69916062.webp,独自ID,元サイトIDあり,支倉常長,侍,侍,6,武士道,外交官,博識,対象外,18183,14671,2607,1224,1210,1378,1268,768,899,707,732,ID確定,英傑名完全一致,支倉常長,腕力上昇率向上Lv.1,,,2025/12/17,対象外,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0039,60475627,60475627,60475627.webp,images/eiketsu/60475627.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/60475627.webp,独自ID,元サイトIDあり,十河一存,侍,侍,6,武芸,鬼,気鋭,対象外,23409,12142,2189,982,1218,921,1408,688,697,825,682,ID確定,英傑名完全一致,十河一存,腕力修練上昇Lv.1,,,2025/12/17,対象外,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0040,15674090,15674090,15674090.webp,images/eiketsu/15674090.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/15674090.webp,独自ID,元サイトIDあり,北条氏邦,侍,侍,6,武芸,世渡り上手,多才,根性,23409,12142,2246,982,1150,921,1408,688,844,682,682,ID確定,英傑名完全一致,北条氏邦,器用上昇率向上Lv.1,,,2025/12/17,対象外,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0041,69769069,69769069,69769069.webp,images/eiketsu/69769069.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/69769069.webp,独自ID,元サイトIDあり,井伊直政,侍,侍,6,武芸,猛将,気鋭,対象外,23409,12142,2113,1092,1035,921,1408,688,697,825,682,ID確定,英傑名完全一致,井伊直政,腕力修練上昇Lv.1,,,2025/12/17,赤備えの決意,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0042,54667794,54667794,54667794.webp,images/eiketsu/54667794.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/54667794.webp,独自ID,元サイトIDあり,谷忠澄,傾奇者,傾奇者,6,殺陣,多才,外交官,対象外,27259,12232,2229,1053,1053,1528,1769,796,743,752,780,ID確定,英傑名完全一致,谷忠澄,知力修練上昇Lv.1,腕力上昇Lv.1,,2025/12/17,対象外,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0043,21546951,21546951,21546951.webp,images/eiketsu/21546951.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/21546951.webp,独自ID,元サイトIDあり,伊奈忠次,陰陽師,陰陽師,6,召喚術,博識,文化人,対象外,22186,13965,705,1168,758,1737,1482,1630,1339,1655,1199,ID確定,英傑名完全一致,伊奈忠次,知力上昇Lv.1,魅力上昇Lv.1,,2025/12/17,対象外,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0044,88143633,88143633,88143633.webp,images/eiketsu/88143633.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/88143633.webp,独自ID,元サイトIDあり,唐沢玄蕃,忍者,忍者,6,暗殺術,気鋭,忍び,対象外,25038,11522,2392,985,1764,819,1585,750,863,769,782,ID確定,英傑名完全一致,唐沢玄蕃,器用上昇Lv.1,腕力修練上昇Lv.1,,2025/12/17,対象外,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
EIK_0045,657416,657416,657416.webp,images/eiketsu/657416.webp,https://tenka1game.com/nobon-jinpo/images/eiketsu/657416.webp,独自ID,元サイトIDあり,御子神典膳,侍,侍,6,武芸,信義,剣豪,対象外,30899,15907,2420,1146,1897,1300,2451,1529,1580,1514,1509,ID確定,英傑名完全一致,御子神典膳,腕力上昇Lv.1,腕力修練志向Lv.1,,2025/12/17,対象外,対象外,ZIP内get_data.csvから確認／画像IDはZIP内に列なし,internal_id,照合用のみ
